metric,index,mean,std
f1 macro (train) (transpose_{'n_semitones': 12}),8,0.9881249465725938,0.020493675602281592
f1 macro (train) (transpose_{'n_semitones': 12}),9,0.9994012371817387,0.0014228767685359302
f1 macro (train) (transpose_{'n_semitones': 12}),10,1.0,0.0
f1 macro (train) (transpose_{'n_semitones': 12}),11,1.0,0.0
f1 macro (train) (transpose_{'n_semitones': 12}),12,0.4272842435689633,0.11794310710504367
f1 macro (train) (transpose_{'n_semitones': 12}),13,0.4599001925217704,0.19240459173214552
f1 macro (train) (transpose_{'n_semitones': 12}),14,0.2716623357399691,0.10319102302390845
f1 macro (train) (transpose_{'n_semitones': 12}),15,0.04929219875705516,0.03464232994427847
f1 macro (train) (transpose_{'n_semitones': 12}),16,0.18006287146318475,0.07778913589522149
f1 macro (test) (transpose_{'n_semitones': 12}),0,0.6928437889919554,0.20759613617432413
f1 macro (test) (transpose_{'n_semitones': 12}),1,0.5821990458129523,0.2036773689972812
f1 macro (test) (transpose_{'n_semitones': 12}),2,0.629237188203077,0.20579716572408252
f1 macro (test) (transpose_{'n_semitones': 12}),3,0.6637373595251805,0.2101018856845753
f1 macro (test) (transpose_{'n_semitones': 12}),4,0.6830794738405216,0.21014192785882183
f1 macro (test) (transpose_{'n_semitones': 12}),5,0.7227752351394359,0.15390149431921343
f1 macro (test) (transpose_{'n_semitones': 12}),6,0.6856248321747996,0.18051926253916298
f1 macro (test) (transpose_{'n_semitones': 12}),7,0.7084661233334372,0.16833909049129456
f1 macro (test) (transpose_{'n_semitones': 12}),8,0.7215256144576088,0.1536285973782771
f1 macro (test) (transpose_{'n_semitones': 12}),9,0.7222782275618274,0.15132039851424317
f1 macro (test) (transpose_{'n_semitones': 12}),10,0.7180815761761457,0.14449374191448539
f1 macro (test) (transpose_{'n_semitones': 12}),11,0.6667063654239688,0.136442047779568
f1 macro (test) (transpose_{'n_semitones': 12}),12,0.394954227092287,0.1251766614623685
f1 macro (test) (transpose_{'n_semitones': 12}),13,0.44666754326207203,0.17086218883831095
f1 macro (test) (transpose_{'n_semitones': 12}),14,0.2807822396014887,0.10321495780019317
f1 macro (test) (transpose_{'n_semitones': 12}),15,0.04953580597706942,0.03274305867047086
f1 macro (test) (transpose_{'n_semitones': 12}),16,0.17776437642858714,0.0790415386466222
f1 weighted (train) (transpose_{'n_semitones': 12}),0,0.9510267443081141,0.18543920740814263
f1 weighted (train) (transpose_{'n_semitones': 12}),1,0.8959294433422872,0.18215948165276363
f1 weighted (train) (transpose_{'n_semitones': 12}),2,0.9097302711273767,0.1823133549649944
f1 weighted (train) (transpose_{'n_semitones': 12}),3,0.9230159165075188,0.183216413031231
f1 weighted (train) (transpose_{'n_semitones': 12}),4,0.9425713301070588,0.18482732146486844
f1 weighted (train) (transpose_{'n_semitones': 12}),5,0.9999860902624367,5.218506356181269e-05
f1 weighted (train) (transpose_{'n_semitones': 12}),6,0.9693482434042198,0.03364404148849243
f1 weighted (train) (transpose_{'n_semitones': 12}),7,0.9889822422741481,0.015004973217376885
f1 weighted (train) (transpose_{'n_semitones': 12}),8,0.9970976273238414,0.005223128618514535
f1 weighted (train) (transpose_{'n_semitones': 12}),9,0.9996747859992454,0.0008373828721836684
f1 weighted (train) (transpose_{'n_semitones': 12}),10,1.0,0.0
f1 weighted (train) (transpose_{'n_semitones': 12}),11,1.0,0.0
f1 weighted (train) (transpose_{'n_semitones': 12}),12,0.823437250133797,0.11046080579880023
f1 weighted (train) (transpose_{'n_semitones': 12}),13,0.8618306804575093,0.09635038396739118
f1 weighted (train) (transpose_{'n_semitones': 12}),14,0.792104428510925,0.15642714747584882
f1 weighted (train) (transpose_{'n_semitones': 12}),15,0.03336678926130916,0.047888802667421584
f1 weighted (train) (transpose_{'n_semitones': 12}),16,0.394269825051978,0.11706364296083058
